date,Revenue,EBIT,CapEx,TotalAssets,TotalDebt,PretaxIncome,TaxProvision,InterestExpense,effective_tax_rate,implied_cost_of_debt,revenue_growth_1y,revenue_growth_3y,historical_ebit_margin,historical_capex_intensity,latest_shares_outstanding,latest_beta,latest_current_price,latest_roe,latest_net_margin,latest_enterprise_value,latest_market_cap,latest_debt_to_equity,revenue_ttm,ebit_ttm
2022-09-30,14107000000,-2156000000.0,937000000.0,125850000000.0,,-2156000000.0,-1070000000,903000000,,,0.06459889819636255,-0.3660523723881801,-0.15283192741192317,0.0664209257815269,929396992,0.652,293.79,0.21851,0.087110005,322489417728,273047552000,0.2447742229869315,115386000000.0,5026000000.0
2022-12-31,60530000000,1156000000.0,1346000000.0,127243000000.0,,1156000000.0,-626000000,1216000000,,,0.05544899738448117,0.01600653088124715,0.01909796794977697,0.02223690731868495,929396992,0.652,293.79,0.21851,0.087110005,322489417728,273047552000,0.2447742229869315,118566000000.0,1345000000.0
2023-03-31,14252000000,1058000000.0,300000000.0,133637000000.0,,1058000000.0,124000000,367000000,,,0.0038740578995561936,-0.06740493785785051,0.0742351950603424,0.021049677238282348,929396992,0.652,293.79,0.21851,0.087110005,322489417728,273047552000,0.2447742229869315,118621000000.0,1780000000.0
2023-06-30,29727000000,2000000000.0,664000000.0,132213000000.0,,2000000000.0,543000000,790000000,,,-0.00016816897618732174,-0.05915383010301678,0.0672789046994315,0.022336596360211257,929396992,0.652,293.79,0.21851,0.087110005,322489417728,273047552000,0.2447742229869315,118616000000.0,2058000000.0
2023-09-30,14752000000,4931000000.0,945000000.0,129321000000.0,,4931000000.0,159000000,412000000,,,0.0457219819947543,-0.056427089438288336,0.33425976138828634,0.06405911062906725,929396992,0.652,293.79,0.21851,0.087110005,322489417728,273047552000,0.2447742229869315,119261000000.0,9145000000.0
2023-12-31,61860000000,8690000000.0,1245000000.0,135241000000.0,,8690000000.0,1176000000,1607000000,,,0.02197257558235588,0.038832105898517266,0.14047849983834465,0.020126091173617848,929396992,0.652,293.79,0.21851,0.087110005,322489417728,273047552000,0.2447742229869315,120591000000.0,16679000000.0
2024-03-31,14462000000,1074000000.0,239000000.0,137169000000.0,62871000000.0,1074000000.0,-502000000,432000000,0,0.02748484993081071,0.014734774066797574,0.031242454002492925,0.07426358733231918,0.01652606831696861,929396992,0.652,293.79,0.21851,0.087110005,322489417728,273047552000,0.2447742229869315,120801000000.0,16695000000.0
2024-06-30,15770000000,2219000000.0,459000000.0,133848000000.0,59839000000.0,2219000000.0,389000000,427000000,0.17530419107706174,0.028543257741606643,-0.46950583644498267,-0.24383582146566407,0.14071020925808497,0.029105897273303743,929396992,0.652,293.79,0.21851,0.087110005,322489417728,273047552000,0.2447742229869315,106844000000.0,16914000000.0
2024-09-30,14968000000,-802000000.0,745000000.0,134339000000.0,60126000000.0,-802000000.0,-485000000,429000000,,0.02854006586169045,0.014642082429501047,0.04144987816199497,-0.05358097274184928,0.04977284874398717,929396992,0.652,293.79,0.21851,0.087110005,322489417728,273047552000,0.2447742229869315,107060000000.0,11181000000.0
2024-12-31,62753000000,5797000000.0,1048000000.0,137175000000.0,58396000000.0,5797000000.0,-218000000,1712000000,0.11464004839685421,0.029043085142818,0.014435822825735523,0.030466055206729514,0.09237805363886986,0.016700396793778785,929396992,0.652,293.79,0.21851,0.087110005,322489417728,273047552000,0.2447742229869315,107953000000.0,8288000000.0
2025-03-31,14541000000,1158000000.0,244000000.0,145667000000.0,66835000000.0,1158000000.0,103000000,455000000,0.08894645941278066,0.02723124111618164,0.005462591619416424,0.008012452876121179,0.07963688879719415,0.016780138917543496,929396992,0.652,293.79,0.21851,0.087110005,322489417728,273047552000,0.2447742229869315,108032000000.0,8372000000.0
